protein1	protein2
FOSL2	FOS
FOSL2	JUNB
FOSL2	ATF4
FOSL2	FOSB
TP63	TP53
TP63	SP1
TP63	TP73
LYL1	TCF3
KLF1	GATA1
LEF1	RUNX2
LEF1	TEAD3
LEF1	MYB
LEF1	TEAD2
LEF1	RUNX3
LEF1	TCF7
LEF1	PITX2
LEF1	MYC
LEF1	SMAD4
LEF1	TCF7L2
LEF1	TCF7L1
LEF1	SOX13
LEF1	MITF
LEF1	HNF4A
LEF1	TEAD4
LEF1	SOX17
LEF1	SOX4
LEF1	TEAD1
LEF1	CDX1
LEF1	PAX5
PITX1	TBX19
PITX1	TBX4
SRF	ELK1
SRF	NFATC2
SRF	ELK4
SRF	NFATC4
SRF	ETS2
SRF	GATA4
SRF	FOS
SRF	NKX2-5
SRF	HNF1A
SRF	MYOD1
SRF	NFATC1
SRF	NFATC3
SRF	ETS1
SRF	SPI1
SRF	FOXG1
CREM	JUN
CREM	ATF2
CREM	FOS
CREM	CREB1
CREM	ATF3
CREM	XBP1
CREM	ATF4
CREM	NFATC1
CREM	NFATC2
CREM	NFATC3
CREM	KCNIP3
CREM	ATF1
GMEB2	GMEB1
ARNTL2	NPAS2
ARNTL2	CLOCK
ARNTL2	ARNTL
ASCL1	PHOX2B
ASCL1	MYT1L
ASCL1	NEUROG2
ASCL1	TCF3
ASCL1	HES5
ASCL1	TCF4
ASCL1	TCF12
ASCL1	OLIG2
ASCL1	PHOX2A
ASCL1	GSX2
ASCL1	POU3F2
JDP2	JUN
JDP2	JUND
JDP2	ATF2
JDP2	FOS
JDP2	JUNB
ZFHX3	RUNX3
ZFHX3	PITX2
IRF8	STAT2
IRF8	IRF9
IRF8	STAT1
IRF8	SP100
IRF8	IKZF1
IRF8	ZBTB17
IRF8	SPI1
IRF8	MAX
IRF8	MYC
IRF8	EGR1
ZNF174	ZNF18
ZNF174	ZNF24
ZNF174	ZSCAN32
ZNF174	ZNF397
ZNF174	ZKSCAN4
ZNF174	ZNF396
GATA6	GATA1
GATA6	NANOG
GATA6	ZFPM1
GATA6	GATA3
GATA6	GATA5
GATA6	GATA4
GATA6	ZFPM2
GATA6	NKX2-1
GATA6	NKX2-5
GATA6	HEY2
GATA6	POU5F1
GATA6	ZGLP1
GATA6	SOX17
GATA6	HEY1
GATA6	FOXA2
GATA6	GATA2
TP53	NFYC
TP53	E2F1
TP53	RUNX2
TP53	NR3C1
TP53	YY2
TP53	YBX1
TP53	GATAD2B
TP53	ATF2
TP53	HIC1
TP53	TBPL2
TP53	MYB
TP53	E2F7
TP53	SP1
TP53	E2F8
TP53	NANOG
TP53	SNAI1
TP53	SMAD3
TP53	ATF3
TP53	ESR1
TP53	SREBF1
TP53	ZNF420
TP53	HMGA1
TP53	KLF4
TP53	WT1
TP53	PHF20
TP53	RUNX3
TP53	SP100
TP53	REST
TP53	POU4F1
TP53	MBD3
TP53	NFYA
TP53	MYC
TP53	ARID3A
TP53	EGR1
TP53	BCL6
TP53	SALL4
TP53	PRDM1
TP53	E2F4
TP53	PPARG
TP53	FOXM1
TP53	JUN
TP53	ZNF274
TP53	NR2E1
TP53	MYCN
TP53	NFE2L2
TP53	FOS
TP53	PIN1
TP53	E4F1
TP53	MECOM
TP53	CREB1
TP53	TBP
TP53	YY1
TP53	TFDP1
TP53	TP73
TP53	POU5F1
TP53	STAT6
TP53	TWIST1
TP53	GATAD2A
TP53	FOXO3
TP53	HMGA2
